t,method,metric,value
17500,oja_quant_b4,explained_variance,0.08417647360197328
18000,oja_quant_b4,explained_variance,0.08314144316953033
18500,oja_quant_b4,explained_variance,0.0851654485783408
19000,oja_quant_b4,explained_variance,0.08668085140273306
19500,oja_quant_b4,explained_variance,0.08504953728896827
20000,oja_quant_b4,explained_variance,0.08505307957755705
500,oja_quant_b4,reconstruction_error,2.7153500100083
1000,oja_quant_b4,reconstruction_error,2.708170135764076
1500,oja_quant_b4,reconstruction_error,2.7106113482690497
2000,oja_quant_b4,reconstruction_error,2.7139130833636638
2500,oja_quant_b4,reconstruction_error,2.7044487072110535
3000,oja_quant_b4,reconstruction_error,2.7110153874246095
3500,oja_quant_b4,reconstruction_error,2.7073598392906324
4000,oja_quant_b4,reconstruction_error,2.7033492170313966
4500,oja_quant_b4,reconstruction_error,2.7116352745727506
5000,oja_quant_b4,reconstruction_error,2.7097862519021123
5500,oja_quant_b4,reconstruction_error,2.7088237941431843
6000,oja_quant_b4,reconstruction_error,2.7065977524053566
6500,oja_quant_b4,reconstruction_error,2.7039341090959628
7000,oja_quant_b4,reconstruction_error,2.7064572982901036
7500,oja_quant_b4,reconstruction_error,2.7025048188455556
8000,oja_quant_b4,reconstruction_error,2.704037722268953
8500,oja_quant_b4,reconstruction_error,2.7114606639093455
9000,oja_quant_b4,reconstruction_error,2.7120357312742107
9500,oja_quant_b4,reconstruction_error,2.7075794355189755
10000,oja_quant_b4,reconstruction_error,2.7087657506791127
10500,oja_quant_b4,reconstruction_error,2.7145944742972032
11000,oja_quant_b4,reconstruction_error,2.7072722367656397
11500,oja_quant_b4,reconstruction_error,2.7075334132680933
12000,oja_quant_b4,reconstruction_error,2.7032856247900887
12500,oja_quant_b4,reconstruction_error,2.7097054467483277
13000,oja_quant_b4,reconstruction_error,2.705079291961218
13500,oja_quant_b4,reconstruction_error,2.70753514202901
14000,oja_quant_b4,reconstruction_error,2.7081782352676673
14500,oja_quant_b4,reconstruction_error,2.707280526029601
15000,oja_quant_b4,reconstruction_error,2.707829142220629
15500,oja_quant_b4,reconstruction_error,2.704604499940628
16000,oja_quant_b4,reconstruction_error,2.707612845842792
16500,oja_quant_b4,reconstruction_error,2.7064483162273216
17000,oja_quant_b4,reconstruction_error,2.710297438281604
17500,oja_quant_b4,reconstruction_error,2.7092088730553776
18000,oja_quant_b4,reconstruction_error,2.7122707223643654
18500,oja_quant_b4,reconstruction_error,2.706283265988105
19000,oja_quant_b4,reconstruction_error,2.701800368727053
19500,oja_quant_b4,reconstruction_error,2.7066261572598447
20000,oja_quant_b4,reconstruction_error,2.7066156783854773
500,oja_quant_b6,subspace_error,0.9477755465252955
1000,oja_quant_b6,subspace_error,0.9477579030994633
1500,oja_quant_b6,subspace_error,0.9459037912952206
2000,oja_quant_b6,subspace_error,0.9450030043261745
2500,oja_quant_b6,subspace_error,0.9436019358564176
3000,oja_quant_b6,subspace_error,0.9419317752804043
3500,oja_quant_b6,subspace_error,0.9413979835187473
4000,oja_quant_b6,subspace_error,0.9433488108865447
4500,oja_quant_b6,subspace_error,0.9402825877527071
5000,oja_quant_b6,subspace_error,0.9409555983120679
5500,oja_quant_b6,subspace_error,0.9420281088675481
6000,oja_quant_b6,subspace_error,0.9410342386324567
6500,oja_quant_b6,subspace_error,0.9405345484348306
7000,oja_quant_b6,subspace_error,0.9395416561311303
7500,oja_quant_b6,subspace_error,0.9389977742280683
8000,oja_quant_b6,subspace_error,0.9396605810760457
8500,oja_quant_b6,subspace_error,0.9399091432705884
9000,oja_quant_b6,subspace_error,0.9405851546160486
9500,oja_quant_b6,subspace_error,0.9407496833936984
10000,oja_quant_b6,subspace_error,0.9408776534834583
10500,oja_quant_b6,subspace_error,0.9394234636141039
11000,oja_quant_b6,subspace_error,0.9413733583316436
11500,oja_quant_b6,subspace_error,0.9406684830647599
12000,oja_quant_b6,subspace_error,0.9416921052381954
12500,oja_quant_b6,subspace_error,0.9389722304091814
13000,oja_quant_b6,subspace_error,0.9398546291036307
13500,oja_quant_b6,subspace_error,0.9413724637713654
14000,oja_quant_b6,subspace_error,0.9402623763750219
14500,oja_quant_b6,subspace_error,0.9397302729830079
15000,oja_quant_b6,subspace_error,0.940805938974524
15500,oja_quant_b6,subspace_error,0.9400864873674839
16000,oja_quant_b6,subspace_error,0.9406445243906537
16500,oja_quant_b6,subspace_error,0.9409698202862401
17000,oja_quant_b6,subspace_error,0.9410703111558709
17500,oja_quant_b6,subspace_error,0.9401177896342583
18000,oja_quant_b6,subspace_error,0.9408008377789008
18500,oja_quant_b6,subspace_error,0.9402111136814261
19000,oja_quant_b6,subspace_error,0.9409404119747201
19500,oja_quant_b6,subspace_error,0.9397431692376671
20000,oja_quant_b6,subspace_error,0.9383049570986666
500,oja_quant_b6,explained_variance,0.11094406052662033
1000,oja_quant_b6,explained_variance,0.09489672625552951
1500,oja_quant_b6,explained_variance,0.08823944875483093
2000,oja_quant_b6,explained_variance,0.0849867549013098
2500,oja_quant_b6,explained_variance,0.08750327269509896
3000,oja_quant_b6,explained_variance,0.08460766365445879
3500,oja_quant_b6,explained_variance,0.08541094286244995
4000,oja_quant_b6,explained_variance,0.08678262547908343
4500,oja_quant_b6,explained_variance,0.08360098486028585
5000,oja_quant_b6,explained_variance,0.08446913807315987
5500,oja_quant_b6,explained_variance,0.08455131672285132
6000,oja_quant_b6,explained_variance,0.08524751194881894
6500,oja_quant_b6,explained_variance,0.08614556754443359
7000,oja_quant_b6,explained_variance,0.08518712486979388
7500,oja_quant_b6,explained_variance,0.08646694193273198
8000,oja_quant_b6,explained_variance,0.08598201804887368
8500,oja_quant_b6,explained_variance,0.08349459314762787
9000,oja_quant_b6,explained_variance,0.08328094601819311
9500,oja_quant_b6,explained_variance,0.08491286525134967
10000,oja_quant_b6,explained_variance,0.08433866561135993
10500,oja_quant_b6,explained_variance,0.0825496957688956
11000,oja_quant_b6,explained_variance,0.08482981234266422
11500,oja_quant_b6,explained_variance,0.08476718596790359
12000,oja_quant_b6,explained_variance,0.08616608806628018
12500,oja_quant_b6,explained_variance,0.08400667966393188
13000,oja_quant_b6,explained_variance,0.08554640395861804
13500,oja_quant_b6,explained_variance,0.08470272251766744
14000,oja_quant_b6,explained_variance,0.08454204562962414
14500,oja_quant_b6,explained_variance,0.08478545261976181
15000,oja_quant_b6,explained_variance,0.0847309888448621
15500,oja_quant_b6,explained_variance,0.08563634655190422
16000,oja_quant_b6,explained_variance,0.08470950099754
16500,oja_quant_b6,explained_variance,0.08511617197873732
17000,oja_quant_b6,explained_variance,0.08381308401735584
17500,oja_quant_b6,explained_variance,0.08409609166501729
18000,oja_quant_b6,explained_variance,0.08321560173381629
18500,oja_quant_b6,explained_variance,0.08514933009295257
19000,oja_quant_b6,explained_variance,0.08664487498015484
19500,oja_quant_b6,explained_variance,0.08503999032846786
20000,oja_quant_b6,explained_variance,0.08500422122753767
500,oja_quant_b6,reconstruction_error,2.6300244211208934
1000,oja_quant_b6,reconstruction_error,2.677495990853455
1500,oja_quant_b6,reconstruction_error,2.697189692484184
2000,oja_quant_b6,reconstruction_error,2.706811881470692
2500,oja_quant_b6,reconstruction_error,2.6993674643536196
3000,oja_quant_b6,reconstruction_error,2.707933317358789
3500,oja_quant_b6,reconstruction_error,2.705557039511473
4000,oja_quant_b6,reconstruction_error,2.701499298463244
4500,oja_quant_b6,reconstruction_error,2.710911296241049
5000,oja_quant_b6,reconstruction_error,2.7083431067157804
5500,oja_quant_b6,reconstruction_error,2.708100004064994
6000,oja_quant_b6,reconstruction_error,2.7060405043587696
6500,oja_quant_b6,reconstruction_error,2.703383856961093
7000,oja_quant_b6,reconstruction_error,2.706219142716048
7500,oja_quant_b6,reconstruction_error,2.702433160326584
8000,oja_quant_b6,reconstruction_error,2.703867672600005
8500,oja_quant_b6,reconstruction_error,2.711226026495999
9000,oja_quant_b6,reconstruction_error,2.7118580420340184
9500,oja_quant_b6,reconstruction_error,2.7070304634240148
10000,oja_quant_b6,reconstruction_error,2.7087290731612903
10500,oja_quant_b6,reconstruction_error,2.7140212422649763
11000,oja_quant_b6,reconstruction_error,2.7072761523265796
11500,oja_quant_b6,reconstruction_error,2.7074614150167133
12000,oja_quant_b6,reconstruction_error,2.7033231527115684
12500,oja_quant_b6,reconstruction_error,2.7097111611384785
13000,oja_quant_b6,reconstruction_error,2.705156315580372
13500,oja_quant_b6,reconstruction_error,2.7076521121830712
14000,oja_quant_b6,reconstruction_error,2.708127430012581
14500,oja_quant_b6,reconstruction_error,2.707407378213914
15000,oja_quant_b6,reconstruction_error,2.707568494125403
15500,oja_quant_b6,reconstruction_error,2.7048902454644903
16000,oja_quant_b6,reconstruction_error,2.707632059937975
16500,oja_quant_b6,reconstruction_error,2.7064290370859547
17000,oja_quant_b6,reconstruction_error,2.710283859948206
17500,oja_quant_b6,reconstruction_error,2.7094466606318672
18000,oja_quant_b6,reconstruction_error,2.712051344902895
18500,oja_quant_b6,reconstruction_error,2.7063309480386044
19000,oja_quant_b6,reconstruction_error,2.70190679495488
19500,oja_quant_b6,reconstruction_error,2.7066543992839383
20000,oja_quant_b6,reconstruction_error,2.7067602122084025
500,oja_quant_b8,subspace_error,0.9462970807938674
1000,oja_quant_b8,subspace_error,0.9462654161293592
1500,oja_quant_b8,subspace_error,0.9444376091605958
2000,oja_quant_b8,subspace_error,0.9431922292922911
2500,oja_quant_b8,subspace_error,0.941749291817915
3000,oja_quant_b8,subspace_error,0.9404168896556466
3500,oja_quant_b8,subspace_error,0.9403124117772823
4000,oja_quant_b8,subspace_error,0.942378082699683
4500,oja_quant_b8,subspace_error,0.9393969185772301
5000,oja_quant_b8,subspace_error,0.9402173533545046
5500,oja_quant_b8,subspace_error,0.9414463156583919
6000,oja_quant_b8,subspace_error,0.9405767423488663
6500,oja_quant_b8,subspace_error,0.9401043288923907
7000,oja_quant_b8,subspace_error,0.9391571835665294
7500,oja_quant_b8,subspace_error,0.9386623603353156
8000,oja_quant_b8,subspace_error,0.9393649518770651
8500,oja_quant_b8,subspace_error,0.9396623996232802
9000,oja_quant_b8,subspace_error,0.9403770018624034
9500,oja_quant_b8,subspace_error,0.9405830400683073
10000,oja_quant_b8,subspace_error,0.9407358213448649
10500,oja_quant_b8,subspace_error,0.9393306835316382
11000,oja_quant_b8,subspace_error,0.9412599023846309
11500,oja_quant_b8,subspace_error,0.9405625988126708
12000,oja_quant_b8,subspace_error,0.9416141769490565
12500,oja_quant_b8,subspace_error,0.9388890529571233
13000,oja_quant_b8,subspace_error,0.9397683988001024
13500,oja_quant_b8,subspace_error,0.9413017431629054
14000,oja_quant_b8,subspace_error,0.9402140420276964
14500,oja_quant_b8,subspace_error,0.9396807254396279
15000,oja_quant_b8,subspace_error,0.9407615264415867
15500,oja_quant_b8,subspace_error,0.940063801952863
16000,oja_quant_b8,subspace_error,0.9406134477633652
16500,oja_quant_b8,subspace_error,0.9409449267767738
17000,oja_quant_b8,subspace_error,0.9410385077011277
17500,oja_quant_b8,subspace_error,0.9400638781484719
18000,oja_quant_b8,subspace_error,0.9408029745213689
18500,oja_quant_b8,subspace_error,0.9401890588747784
19000,oja_quant_b8,subspace_error,0.9409102428265829
19500,oja_quant_b8,subspace_error,0.9397355693682036
20000,oja_quant_b8,subspace_error,0.9382918765291464
500,oja_quant_b8,explained_variance,0.08067165915779408
1000,oja_quant_b8,explained_variance,0.0847046950784563
1500,oja_quant_b8,explained_variance,0.08354484941947968
2000,oja_quant_b8,explained_variance,0.08240595578773675
2500,oja_quant_b8,explained_variance,0.0856343406976288
3000,oja_quant_b8,explained_variance,0.08338552141561079
3500,oja_quant_b8,explained_variance,0.08463362782126178
4000,oja_quant_b8,explained_variance,0.08615509249746425
4500,oja_quant_b8,explained_variance,0.08323829470763747
5000,oja_quant_b8,explained_variance,0.08410616298411716
5500,oja_quant_b8,explained_variance,0.0842810609059981
6000,oja_quant_b8,explained_variance,0.08504208183142872
6500,oja_quant_b8,explained_variance,0.08599244524082457
7000,oja_quant_b8,explained_variance,0.08506430820345687
7500,oja_quant_b8,explained_variance,0.0863456420819891
8000,oja_quant_b8,explained_variance,0.08589044195888933
8500,oja_quant_b8,explained_variance,0.08339474780785705
9000,oja_quant_b8,explained_variance,0.0832123132619198
9500,oja_quant_b8,explained_variance,0.08483773018073375
10000,oja_quant_b8,explained_variance,0.08430164936081683
10500,oja_quant_b8,explained_variance,0.0825173437705109
11000,oja_quant_b8,explained_variance,0.08478867714759221
11500,oja_quant_b8,explained_variance,0.08472933724769334
12000,oja_quant_b8,explained_variance,0.08613523964638893
12500,oja_quant_b8,explained_variance,0.08398285267705953
13000,oja_quant_b8,explained_variance,0.08554655058195547
13500,oja_quant_b8,explained_variance,0.08468825716436144
14000,oja_quant_b8,explained_variance,0.08452526221080647
14500,oja_quant_b8,explained_variance,0.0847645257095814
15000,oja_quant_b8,explained_variance,0.08471614617084357
15500,oja_quant_b8,explained_variance,0.08562767964700821
16000,oja_quant_b8,explained_variance,0.08469720433514487
16500,oja_quant_b8,explained_variance,0.08510178188694804
17000,oja_quant_b8,explained_variance,0.08381594298309286
17500,oja_quant_b8,explained_variance,0.08410588779829366
18000,oja_quant_b8,explained_variance,0.08319413047778533
18500,oja_quant_b8,explained_variance,0.08514343160065539
19000,oja_quant_b8,explained_variance,0.08664125912454863
19500,oja_quant_b8,explained_variance,0.08503564642002999
20000,oja_quant_b8,explained_variance,0.08499683444021193
500,oja_quant_b8,reconstruction_error,2.7195768906012128
1000,oja_quant_b8,reconstruction_error,2.7076462769112775
1500,oja_quant_b8,reconstruction_error,2.711077357310612
2000,oja_quant_b8,reconstruction_error,2.7144464569718973
2500,oja_quant_b8,reconstruction_error,2.704896179225793
3000,oja_quant_b8,reconstruction_error,2.711548684841917
3500,oja_quant_b8,reconstruction_error,2.7078565096015557
4000,oja_quant_b8,reconstruction_error,2.7033556800399703
4500,oja_quant_b8,reconstruction_error,2.711984214059168
5000,oja_quant_b8,reconstruction_error,2.709416867438876
5500,oja_quant_b8,reconstruction_error,2.7088994806408944
6000,oja_quant_b8,reconstruction_error,2.7066482121548505
6500,oja_quant_b8,reconstruction_error,2.703836826656283
7000,oja_quant_b8,reconstruction_error,2.7065824616225935
7500,oja_quant_b8,reconstruction_error,2.7027919921565826
8000,oja_quant_b8,reconstruction_error,2.704138574960988
8500,oja_quant_b8,reconstruction_error,2.711521391129734
9000,oja_quant_b8,reconstruction_error,2.7120610729312586
9500,oja_quant_b8,reconstruction_error,2.707252729607535
10000,oja_quant_b8,reconstruction_error,2.7088385754305895
10500,oja_quant_b8,reconstruction_error,2.714116946643122
11000,oja_quant_b8,reconstruction_error,2.7073978393462634
11500,oja_quant_b8,reconstruction_error,2.7075733799157056
12000,oja_quant_b8,reconstruction_error,2.703414409171444
12500,oja_quant_b8,reconstruction_error,2.709781646644028
13000,oja_quant_b8,reconstruction_error,2.7051558818360593
13500,oja_quant_b8,reconstruction_error,2.707694903902653
14000,oja_quant_b8,reconstruction_error,2.708177079083467
14500,oja_quant_b8,reconstruction_error,2.7074692846501565
15000,oja_quant_b8,reconstruction_error,2.7076124020432397
15500,oja_quant_b8,reconstruction_error,2.7049158840891483
16000,oja_quant_b8,reconstruction_error,2.707668436189413
16500,oja_quant_b8,reconstruction_error,2.706471606165298
17000,oja_quant_b8,reconstruction_error,2.7102754024942106
17500,oja_quant_b8,reconstruction_error,2.7094176814995037
18000,oja_quant_b8,reconstruction_error,2.712114861634752
18500,oja_quant_b8,reconstruction_error,2.7063483970855096
19000,oja_quant_b8,reconstruction_error,2.701917491456782
19500,oja_quant_b8,reconstruction_error,2.7066672495274013
20000,oja_quant_b8,reconstruction_error,2.706782063961704
500,sketch_fd,subspace_error,0.94277665641316
1000,sketch_fd,subspace_error,0.943636017380778
1500,sketch_fd,subspace_error,0.9427111913533912
2000,sketch_fd,subspace_error,0.9421839105180139
2500,sketch_fd,subspace_error,0.9415229382843989
3000,sketch_fd,subspace_error,0.9411397391407021
3500,sketch_fd,subspace_error,0.9413975647235608
4000,sketch_fd,subspace_error,0.941232400203603
4500,sketch_fd,subspace_error,0.9406066367729637
5000,sketch_fd,subspace_error,0.9405157824437703
5500,sketch_fd,subspace_error,0.9406384235234265
6000,sketch_fd,subspace_error,0.9407753121333746
6500,sketch_fd,subspace_error,0.9406851911199157
7000,sketch_fd,subspace_error,0.9404046092662128
7500,sketch_fd,subspace_error,0.9403386019449054
8000,sketch_fd,subspace_error,0.9403117125492699
8500,sketch_fd,subspace_error,0.9403185898549784
9000,sketch_fd,subspace_error,0.9403799369561329
9500,sketch_fd,subspace_error,0.9404318484081552
10000,sketch_fd,subspace_error,0.9404511837981756
10500,sketch_fd,subspace_error,0.9403919095546798
11000,sketch_fd,subspace_error,0.9405626909694739
11500,sketch_fd,subspace_error,0.9405164031032353
12000,sketch_fd,subspace_error,0.940521478431873
12500,sketch_fd,subspace_error,0.9403554821209811
13000,sketch_fd,subspace_error,0.9403200344928851
13500,sketch_fd,subspace_error,0.9404127813610913
